City,State,Year,Median_Income
Wilmington city,North Carolina,2021,53186
Erie city,Pennsylvania,2021,43186
Johnson City city,Tennessee,2021,56248
Yonkers city,New York,2021,66395
Toledo city,Ohio,2021,44150
South Jordan city,Utah,2021,104170
Bellingham city,Washington,2021,58597
El Paso city,Texas,2021,51241
Georgetown city,Texas,2021,79601
Appleton city,Wisconsin,2021,66449
Irving city,Texas,2021,70340
Laredo city,Texas,2021,52438
Mesquite city,Texas,2021,60957
Tacoma city,Washington,2021,77141
Midland city,Texas,2021,72038
Santa Fe city,New Mexico,2021,60517
Winston-Salem city,North Carolina,2021,54228
Pawtucket city,Rhode Island,2021,51817
Providence city,Rhode Island,2021,60970
Abilene city,Texas,2021,51931
North Charleston city,South Carolina,2021,55864
Layton city,Utah,2021,81011
Lehi city,Utah,2021,114136
Dale City CDP,Virginia,2021,107272
Hampton city,Virginia,2021,57647
Madison city,Wisconsin,2021,67270
Mission city,Texas,2021,57749
Missouri City city,Texas,2021,81451
Richardson city,Texas,2021,85580
Warwick city,Rhode Island,2021,72025
Rochester city,New York,2021,41980
Knoxville city,Tennessee,2021,45700
