City,State,Year,Median_Income
League City city,Texas,2021,101382
Leander city,Texas,2021,120165
Ponce zona urbana,Puerto Rico,2021,17207
Waukesha city,Wisconsin,2021,69533
Gresham city,Oregon,2021,66129
Dayton city,Ohio,2021,39315
Allentown city,Pennsylvania,2021,46745
Portland city,Oregon,2021,79057
Bethlehem city,Pennsylvania,2021,57320
Tulsa city,Oklahoma,2021,51008
Baytown city,Texas,2021,48287
Brownsville city,Texas,2021,47435
Alexandria city,Virginia,2021,101162
Grand Prairie city,Texas,2021,68473
Everett city,Washington,2021,70023
Philadelphia city,Pennsylvania,2021,52899
Newport News city,Virginia,2021,58937
Green Bay city,Wisconsin,2021,51908
Lewisville city,Texas,2021,75915
Vancouver city,Washington,2021,69993
Milwaukee city,Wisconsin,2021,46637
Round Rock city,Texas,2021,79649
Hillsboro city,Oregon,2021,97436
Franklin city,Tennessee,2021,104515
Beaumont city,Texas,2021,51361
Bryan city,Texas,2021,44017
College Station city,Texas,2021,49215
Federal Way city,Washington,2021,78734
Pittsburgh city,Pennsylvania,2021,57821
Norfolk city,Virginia,2021,58591
